"Frequency_Variable","z_value_TreeCover","p_value_TreeCover","z_value_NL_StableLights_Avg","p_value_NL_StableLights_Avg","z_value_PopulationDensity","p_value_PopulationDensity","z_value_DistanceToRoad_km","p_value_DistanceToRoad_km","z_value_Temperature","p_value_Temperature","z_value_Humidity","p_value_Humidity","z_value_Elevation_km","p_value_Elevation_km","z_value_Longitude","p_value_Longitude","z_value_Latitude","p_value_Latitude"
"avg_sylls_upper_freq_Hz",0.717341506237216,0.47327114180523,-0.371298514404841,0.710465785311472,1.79949299035697,0.0721345270575252,1.16571687394219,0.243907706121794,0.61728161524039,0.537139366147971,-1.41515640212922,0.157222870756605,2.82370938911234,0.0048076569259255,7.43874602265075,1.67291020297663e-13,-3.59424140755868,0.000335488487582993
"avg_sylls_lower_freq_Hz",1.31694974286853,0.188049510873764,0.789425379553821,0.429983777730028,1.70735283845605,0.0879561117370563,0.402313800737823,0.687508393567681,-1.07145084093745,0.284133027277925,-0.623895341942127,0.532787829477644,1.9207321402054,0.0549481684409897,5.45748993181372,5.61168029652735e-08,-0.396530388706753,0.691768202554619
"max_sylls_freq_Hz",-0.31936212803797,0.749494822718885,-1.41442584394579,0.157437098613686,1.41381942420932,0.157615092399652,0.766612037780212,0.443428580296066,-0.932367931532664,0.351291150145579,-1.52377942088387,0.127767156881043,3.49445398338771,0.000488357507691887,6.5892222418728,6.03531877412195e-11,-3.82813486197167,0.000134239542486232
"min_sylls_freq_Hz",0.247142484964658,0.804830579651829,-0.162784949250434,0.870708910039636,1.24915514967077,0.21179633486832,-0.975451528365189,0.32948805319027,-0.167281448619835,0.867170350922433,1.13246965668812,0.257611625186668,-0.383884614065954,0.701116452819009,1.51036506175755,0.131153465826593,-4.85846890761931,1.30229008820423e-06
"overall_sylls_freq_range_Hz",-0.370483326879675,0.71107285573648,-1.24683517979291,0.212645709798224,0.887931537215866,0.374714898570428,1.16324304954783,0.244909373601294,-0.821706351298143,0.41137001006947,-1.85727178515414,0.063461444759147,3.52319173604705,0.000438718413244885,5.69585958939891,1.46534566912203e-08,-1.86936691486538,0.0617596111171449
"largest_sylls_freq_range_Hz",-0.844945790355339,0.398271088389438,-1.32630237020349,0.184934324436573,0.56546061965428,0.571842078943974,-0.0985280929611135,0.921525664313676,1.21910452101101,0.222989419817912,-2.06906434758992,0.0387049449525639,1.0842705600204,0.278412933759877,2.9265594744576,0.00347711082440548,-3.6888753821371,0.000233003775285552
"smallest_sylls_freq_range_Hz",-1.43549301270833,0.151347769513413,0.545425090948805,0.585539412361329,-1.00886231694912,0.313197625310493,0.998522084218647,0.318181614167602,0.163043700154873,0.870505212803761,-1.0123565471697,0.311525100059347,-0.0330637197887121,0.973628017633956,3.91800979625039,9.31543000596541e-05,-3.45654158783217,0.000561885114997477
"avg_sylls_freq_range_Hz",-0.225832418235409,0.821361439766801,-0.925467037110062,0.354866621706877,0.603587397426532,0.546206026944745,0.897605916951176,0.369534634171699,1.45295760559553,0.146437285724894,-1.00007843363627,0.317428147427951,1.41146703746944,0.158306999585564,3.61445125282946,0.000310576679634773,-3.46853395596041,0.0005375795417528
