Recording_ID,Source,Species,Month,Latitude,Longitude,avg_sylls_upper_freq_Hz,avg_sylls_lower_freq_Hz,max_sylls_freq_Hz,min_sylls_freq_Hz,overall_sylls_freq_range_Hz,largest_sylls_freq_range_Hz,smallest_sylls_freq_range_Hz,avg_sylls_freq_range_Hz,NL_StableLights_Avg,TreeCover,PopulationDensity,ClimateDivisions,Level1Ecoregion,Level1Ecoregion_Edited,KG_ClimateZones,KG_ClimateZones_Edited,Elevation_m,Distance_to_Road_m,Distance_to_Road_km
15327,ML,Pipilo erythrophthalmus,4,32.3333333,-80.6666667,6020.409357,2942.865497,7092.105263,2578.947368,4556.140351,4298.245614,988.5964912,3120.526316,13,0,7.31985,SOUTHERN,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Cfa: Humid Subtropical Climate,Cfa: Humid Subtropical Climate,1,7963.573225,7.963573225
15328,ML,Pipilo erythrophthalmus,5,32.4166667,-80.6666667,4190.789474,2509.100877,4384.210526,1461.403509,2965.789474,2578.947368,945.6140351,1724.671053,52,0,2.27571,SOUTHERN,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Cfa: Humid Subtropical Climate,Cfa: Humid Subtropical Climate,8,524.049034,0.524049034
15329,ML,Pipilo erythrophthalmus,4,25.52333673,-80.49524713,4864.832536,3028.30941,7392.982456,2664.912281,4771.052632,4728.070175,988.5964912,1879.505582,55,0,221.4677,EVERGLADES,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Aw: Tropical Savanna (Wet and Dry Climate),Aw: Tropical Savanna (Wet and Dry Climate),8,5730.895258,5.730895258
15335,ML,Pipilo erythrophthalmus,5,42.48066313,-76.44987186,5238.486842,3540.679825,7049.122807,2664.912281,4427.192982,1977.192982,1031.578947,1740.789474,45,15,29.60069,CENTRAL LAKES,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,"Dfb: Humid Continental Mild Summer, Wet All Year","Dfb: Humid Continental Mild Summer, Wet All Year",332,253.7151195,0.253715119
15336,ML,Pipilo erythrophthalmus,5,42.30605833,-76.48867268,4788.961988,3259.502924,5888.596491,2621.929825,3309.649123,2364.035088,902.6315789,1572.44152,5,100,0,CENTRAL LAKES,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,"Dfb: Humid Continental Mild Summer, Wet All Year","Dfb: Humid Continental Mild Summer, Wet All Year",467,9806.447415,9.806447415
15337,ML,Pipilo erythrophthalmus,5,42.30652131,-76.48867268,5536.140351,2854.035088,6232.45614,1074.561404,5200.877193,4642.105263,1117.54386,2725.087719,5,100,0,CENTRAL LAKES,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,"Dfb: Humid Continental Mild Summer, Wet All Year","Dfb: Humid Continental Mild Summer, Wet All Year",467,9770.957833,9.770957833
15338,ML,Pipilo erythrophthalmus,5,42.48066313,-76.44987186,4880.46252,3630.063796,5200.877193,2450,2793.859649,2278.070175,1117.54386,1293.38118,45,15,29.60069,CENTRAL LAKES,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,"Dfb: Humid Continental Mild Summer, Wet All Year","Dfb: Humid Continental Mild Summer, Wet All Year",332,253.7151195,0.253715119
15339,ML,Pipilo erythrophthalmus,5,42.48066313,-76.44987186,5179.385965,3145.778509,6060.526316,2192.105263,3911.403509,3008.77193,1117.54386,2076.589912,45,15,29.60069,CENTRAL LAKES,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,"Dfb: Humid Continental Mild Summer, Wet All Year","Dfb: Humid Continental Mild Summer, Wet All Year",332,253.7151195,0.253715119
15343,ML,Pipilo erythrophthalmus,4,39.44314167,-82.46125431,6936.707152,3213.765182,7736.842105,1719.298246,6060.526316,5114.912281,515.7894737,3765.924426,0,100,13.59077,SOUTHEAST,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,311,9849.821829,9.849821829
15347,ML,Pipilo erythrophthalmus,6,40.37480765,-75.96331033,4847.098516,3838.663968,5501.754386,2750.877193,2793.859649,1117.54386,945.6140351,1051.417004,62,0,117.04262,SOUTHEASTERN PIEDMONT,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,102,1727.456544,1.727456544
15349,ML,Pipilo erythrophthalmus,5,42.38899203,-76.6691157,6130.372807,3196.820175,6834.210526,2879.824561,3997.368421,3610.526316,687.7192982,2976.535088,5,100,0.63518,CENTRAL LAKES,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,"Dfb: Humid Continental Mild Summer, Wet All Year","Dfb: Humid Continental Mild Summer, Wet All Year",582,6034.600369,6.034600369
15351,ML,Pipilo erythrophthalmus,4,32.46919804,-80.71049377,3596.19883,2739.415205,5845.614035,1762.280702,4126.315789,3610.526316,343.8596491,899.7660819,48,0,0,SOUTHERN,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Cfa: Humid Subtropical Climate,Cfa: Humid Subtropical Climate,9,2246.79217,2.24679217
20764,XC,Pipilo erythrophthalmus,5,35.5778,-83.4798,4199.055331,3398.920378,4900,1590.350877,3352.631579,1719.298246,429.8245614,843.1174089,0,0,0.00178,SOUTHERN MOUNTAINS,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,"Dfb: Humid Continental Mild Summer, Wet All Year","Dfb: Humid Continental Mild Summer, Wet All Year",1703,5641.07025,5.64107025
26774,ML,Pipilo erythrophthalmus,6,36.11038533,-82.11091634,4500.877193,2585.087719,5587.719298,1934.210526,3696.491228,2621.929825,1633.333333,1958.77193,0,60,18.23943,EASTERN,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,"Dfb: Humid Continental Mild Summer, Wet All Year","Dfb: Humid Continental Mild Summer, Wet All Year",1553,9500.461842,9.500461842
