"Frequency_Variable","z_value_TreeCover","p_value_TreeCover","z_value_NL_StableLights_Avg","p_value_NL_StableLights_Avg","z_value_PopulationDensity","p_value_PopulationDensity","z_value_DistanceToRoad","p_value_DistanceToRoad","z_value_Elevation","p_value_Elevation","z_value_Longitude","p_value_Longitude","z_value_Latitude","p_value_Latitude"
"avg_sylls_upper_freq_Hz",1.07398994321935,0.28297333057926,-1.49941738094103,0.133943417256411,1.88995914802929,0.0589264082255369,0.83673631642289,0.402853561446326,2.2737362642371,0.0231009428008068,7.38594063248707,2.31834340854598e-13,-3.36826472513159,0.000772621886177073
"avg_sylls_lower_freq_Hz",1.85700958838679,0.0634755245980499,-0.512727406350459,0.608205886204685,1.82638505584199,0.067960362533453,0.426359096423598,0.669897959660269,1.27705803653113,0.201748974126862,4.25873250619899,2.16359355434922e-05,0.295664231150232,0.767521137825547
"max_sylls_freq_Hz",0.0691812949666769,0.944853113124384,-2.68220597419295,0.00738173887291304,1.65151056837761,0.0988114492567575,-0.148290678300016,0.882130234310023,3.03579675320317,0.00243393906469656,6.27916215105002,4.27096892951901e-10,-3.94858350574592,8.16894547351753e-05
"min_sylls_freq_Hz",-0.34529730088875,0.729911835596273,-1.03718931589925,0.299789067625236,1.58276911320646,0.113652448781671,-0.6322726113716,0.527290280167115,-0.929570419800495,0.352720088827756,0.836488423007802,0.402992909962254,-4.8072806235446,1.65910430863886e-06
"overall_sylls_freq_range_Hz",0.21810425895701,0.82737297815165,-2.18769525911767,0.028821979680175,1.00563203272496,0.314729831342811,0.067947196820416,0.945835329343046,3.3001407383691,0.000985530055495055,5.66866939042305,1.67657628072764e-08,-2.04987453010409,0.040523489401157
"largest_sylls_freq_range_Hz",-0.721061041868162,0.470967023429315,-1.24041632200827,0.214985567590958,0.42565583080324,0.670410313035382,-0.636863843045557,0.52429575300532,0.889690276878529,0.373752914299401,3.78311294719773,0.000160020691050712,-3.97495588482526,7.32165287663134e-05
"smallest_sylls_freq_range_Hz",-0.926419208659862,0.354354248982381,0.0776974134952925,0.93807751860228,-0.89424011544867,0.371314804232978,1.6056754078992,0.108523326819337,0.175119758338211,0.861005528849166,3.88086289128136,0.000107895785227764,-3.69648699860112,0.000225248041256434
"avg_sylls_freq_range_Hz",-0.214943770881406,0.82983587806152,-1.14068009344278,0.254157127631342,0.605042622788436,0.545228104544182,0.522602512688978,0.601316184416204,1.2929121673275,0.196209885561812,4.28640416796847,1.91344164289383e-05,-3.68329428510229,0.000237142969902908
