"Feature","Mantel_r","P_value","P_value_adj"
"avg_sylls_upper_freq_Hz",0.162158369849671,0.001,0.00133333333333333
"avg_sylls_lower_freq_Hz",0.0682508236043508,0.001,0.00133333333333333
"max_sylls_freq_Hz",0.00248446361040441,0.324,0.324
"min_sylls_freq_Hz",0.159166884943988,0.001,0.00133333333333333
"overall_sylls_freq_range_Hz",0.0365482464224122,0.001,0.00133333333333333
"largest_sylls_freq_range_Hz",0.00751191912401933,0.108,0.123428571428571
"smallest_sylls_freq_range_Hz",0.208540465235621,0.001,0.00133333333333333
"avg_sylls_freq_range_Hz",0.0835020729354828,0.001,0.00133333333333333
