"Frequency_Variable","z_value_TreeCover","p_value_TreeCover","z_value_NL_StableLights_Avg","p_value_NL_StableLights_Avg","z_value_PopulationDensity","p_value_PopulationDensity","z_value_DistanceToRoad","p_value_DistanceToRoad","z_value_Species","p_value_Species","z_value_Elevation","p_value_Elevation","z_value_Longitude","p_value_Longitude","z_value_Latitude","p_value_Latitude"
"avg_sylls_upper_freq_Hz",1.32920563255536,0.183886941955927,-0.0118003356895164,0.99058574197202,1.10913110677392,0.267467570886753,-1.6758118127736,0.093885173452275,12.8948557954183,5.15734625477143e-37,0.772302332911706,0.439999668864442,3.63810603082758,0.000279541190192327,-3.41858325675355,0.000638353449605863
"avg_sylls_lower_freq_Hz",1.19323104244357,0.2328786062226,2.10755307655649,0.0351571302593963,-0.0975873311378293,0.922266873472605,-1.50280143602879,0.133001475836428,5.30339342281486,1.22408146350277e-07,0.634153647856191,0.526031646012983,2.31189664656664,0.0208546175875547,0.679308661415679,0.496997687361702
"max_sylls_freq_Hz",-0.141677786954459,0.887344573763757,-1.37237810424953,0.170054175090638,0.537944060730758,0.590657835310447,-2.10159780553006,0.0356764319710118,8.10334817543873,7.85987680901379e-16,5.89182640461582,4.26901358026338e-09,7.18462393847508,8.57378017790099e-13,-3.10039656916449,0.00195157568498218
"min_sylls_freq_Hz",-0.0741877635894843,0.940866208825502,0.409107694887724,0.682491489434003,-0.894299269406791,0.371237598154922,-0.574383883837552,0.56575356296697,5.66681929026774,1.60079745997786e-08,-6.80842991087234,1.19939021811129e-11,-4.79037795284496,1.7501706801773e-06,0.430602672218419,0.666789985051133
"overall_sylls_freq_range_Hz",-0.171823555007695,0.863588492955933,-1.39053070162532,0.164476772583444,0.462758146095425,0.643573200926615,-1.60981981910593,0.107548372871101,5.2090591331837,2.03382344664176e-07,8.67896404426191,6.61105733942287e-18,8.98088065297171,4.77908203414184e-19,-3.06071478122112,0.00222875220527856
"largest_sylls_freq_range_Hz",-0.417456262298784,0.676376276268353,-1.52081599695412,0.128417379779707,0.978983575636984,0.327671509079617,-0.929946997254471,0.352477592134004,6.64822086504851,3.54421942909496e-11,1.45035978092262,0.147068684234426,4.12729601069382,3.77621046849612e-05,-4.49042345532326,7.39168595833505e-06
"smallest_sylls_freq_range_Hz",1.46689816328238,0.142514520447782,-0.696773205458938,0.48600178299818,0.683044721456021,0.49463431806384,-0.238658453187721,0.811387660475397,7.00477189180031,3.07676205148188e-12,-1.03447285180437,0.301003270258251,-3.59758021527893,0.000326674544192348,-2.50496611293176,0.0123019223065876
"avg_sylls_freq_range_Hz",0.433053267857796,0.665008968992037,-1.79101627019746,0.0733971776662742,1.4676962133367,0.142297532815766,-0.527960460906576,0.597568040764749,7.90816361950162,3.70772823893125e-15,0.306865885011732,0.758967961817354,1.42573641899559,0.154054378622636,-3.66514761163568,0.000251722706808391
