"Frequency_Variable","z_value_TreeCover","p_value_TreeCover","z_value_NL_StableLights_Avg","p_value_NL_StableLights_Avg","z_value_PopulationDensity","p_value_PopulationDensity","z_value_DistanceToRoad_km","p_value_DistanceToRoad_km","z_value_Temperature","p_value_Temperature","z_value_Humidity","p_value_Humidity","z_value_Species","p_value_Species","z_value_Elevation_km","p_value_Elevation_km","z_value_Longitude","p_value_Longitude","z_value_Latitude","p_value_Latitude"
"avg_sylls_upper_freq_Hz",0.964985783817988,0.334647092896708,0.627761899042484,0.530218386325324,1.40575898181906,0.159922403121178,-0.551192669315047,0.581551824876787,1.07014696353443,0.284658491588399,-1.11579764253604,0.264618099856314,11.7834044758108,3.24837794691462e-31,0.399408921565405,0.689626706316925,3.66414193080122,0.000253430522905924,-2.63050363809521,0.00857919343823791
"avg_sylls_lower_freq_Hz",0.584810540301018,0.558728922626639,1.94802465256598,0.0515259747340012,1.64513908894348,0.100069305920673,-0.698875478858177,0.484696134648258,-2.07003897127858,0.0385531706991369,-1.25284594427411,0.210381242304143,5.32299739783584,1.11337457998656e-07,0.1991498998782,0.842162000319626,3.25307594213193,0.00115712592235971,0.841286255747157,0.400269624301592
"max_sylls_freq_Hz",-0.333752741817485,0.738594686052674,-1.07087128306653,0.284332704303699,2.56569798623258,0.0103557905174865,-1.28225665345115,0.19987384135256,-0.00110839931588489,0.9991157156439,-0.756068523134748,0.44968074172145,7.55356427609852,5.93972295468368e-14,5.33188757887654,1.06080369882925e-07,7.18554274323732,8.84278946497276e-13,-2.79776603611965,0.00518592523372929
"min_sylls_freq_Hz",0.366028869488485,0.714375109781405,0.752290391536838,0.451948654022356,-0.36742995459631,0.713330040875638,-0.256263406565721,0.797768948710937,-0.201666911305581,0.840193860382031,1.67775739975337,0.0935219119339541,6.11125565777752,1.1464799458072e-09,-5.22686838017837,1.86951331693586e-07,-3.12638810728126,0.00179041562152676,-0.850303412550913,0.395239439795028
"overall_sylls_freq_range_Hz",-0.508268469543197,0.611310801054032,-1.23460157778608,0.217097121582261,2.43020321389376,0.0151616673416025,-0.896532927390706,0.370056211939891,0.0508128453310409,0.959478793765915,-1.35043065312274,0.177002506348379,4.43895021322126,9.43994442286116e-06,7.673136349229,2.40487811137813e-14,8.30392848615392,1.64358735913181e-16,-2.35092156658992,0.0188057687619911
"largest_sylls_freq_range_Hz",-0.559945108114342,0.575568028293324,-1.64647982865906,0.0997931585509535,1.38666522691713,0.165669921690654,-0.648246049299844,0.516886520234322,1.52395439603092,0.127649060561428,-1.73319370238051,0.0831869632701546,5.67531123865258,1.54734939141138e-08,0.855218380450872,0.392513817665631,3.2549076779662,0.00114972103868678,-4.1680496151504,3.17870027325316e-05
"smallest_sylls_freq_range_Hz",1.17892262238065,0.238543372738119,1.09060279814852,0.275554857020103,-2.38938259344191,0.0169518645799813,0.184580949182782,0.853572993775978,2.49357065943445,0.0127119772923796,1.81858260326568,0.0690970762775393,6.55026721641011,6.97392267167688e-11,-0.551770641078452,0.581155785713343,-3.20615162705721,0.00136253277538158,-2.28587701576865,0.0223464055264262
"avg_sylls_freq_range_Hz",0.499622110643108,0.617386013905532,-0.856074463166899,0.392040241074869,0.111152475106025,0.91150453456176,-0.136267102034452,0.891621316327452,2.78033303250984,0.00547178077841431,0.172905894452225,0.86273966914163,7.0842543532991,1.81920316054361e-12,0.370281198508077,0.711204962503544,0.907566397452229,0.364196538169261,-3.25601567833832,0.00114526318962698
