"Frequency_Variable","z_value_TreeCover","p_value_TreeCover","z_value_NL_StableLights_Avg","p_value_NL_StableLights_Avg","z_value_PopulationDensity","p_value_PopulationDensity","z_value_DistanceToRoad","p_value_DistanceToRoad","z_value_Elevation","p_value_Elevation","z_value_Longitude","p_value_Longitude","z_value_Latitude","p_value_Latitude"
"avg_sylls_upper_freq_Hz",-0.864022645738733,0.38777110354981,1.93208980689917,0.0536149075990977,-0.14966135927217,0.881060292507244,-2.05379812342521,0.040240342356338,3.3153223761155,0.000946421073495342,-2.56983008423362,0.0103106898735954,-4.02053539647778,6.21818601014499e-05
"avg_sylls_lower_freq_Hz",-0.89060273982264,0.37334461254459,3.46968108584819,0.000542054844334514,-1.42365374290324,0.154841283217985,-1.33976147037081,0.18061032206777,1.69966748044142,0.0894871500950019,-1.05987188804513,0.289444555340052,-0.704670788134727,0.48117007310536
"max_sylls_freq_Hz",-0.0686236731236173,0.94530212946669,2.13342846990306,0.0331189276554354,-0.908418897027574,0.363863624196413,-1.73809701197333,0.0824843880077953,6.10370609078889,1.45206177556803e-09,4.36775915019684,1.37853031651439e-05,-1.23597528917854,0.216741828526355
"min_sylls_freq_Hz",-0.406199361711134,0.684678188589376,0.817557423646259,0.413793843844854,-1.35899183443865,0.174438526060334,-0.224055254918794,0.822757526024934,-2.25545517882413,0.0243082428466108,-4.95272695548387,8.51224067604189e-07,2.21521365644257,0.0269575599377125
"overall_sylls_freq_range_Hz",-0.131132405896403,0.895695472799877,1.68144133168298,0.0929720721548139,-0.751050277868428,0.452789253805621,-1.24831993386304,0.212189829279491,7.20390088431999,1.10911905584914e-12,6.51806137478296,1.09981301794207e-10,-1.90962405484251,0.0564516111166902
"largest_sylls_freq_range_Hz",0.309169431353119,0.757253461463215,-0.839132443243716,0.401584369517629,1.05620191100925,0.291116862783045,-0.742268062745513,0.45808953599624,1.90535826145241,0.057004136841768,2.17289657692363,0.0300092443194819,-2.71680194638735,0.00669904423304649
"smallest_sylls_freq_range_Hz",0.949922792666341,0.342368215564947,-0.54335438130225,0.587000179548131,0.743582866371629,0.457293808023264,-0.601475259369181,0.547652215032941,0.853526205614151,0.393560575237488,-4.16470637211445,3.37116919637534e-05,-2.0652074117197,0.0391463002180565
"avg_sylls_freq_range_Hz",-0.0256508869683367,0.979540630040932,-1.10025000612774,0.271473242694824,1.30018104619891,0.193821821587346,-0.800846860742337,0.423399937586088,1.67693799870955,0.0938497260046118,-1.46838194155962,0.142297459338554,-2.99013547785081,0.00285298989066946
