Pair,Mean_Residual,T_test_pval,n,Overall_Mean_Residual,Feature,P_value_adj
GREAT PLAINS_NORTHERN FORESTS,0.039629839,1.62637719784653e-06,11500,9.48682068083785e-17,min_sylls_freq_Hz,3.25275439569306e-06
GREAT PLAINS_TROPICAL WET FORESTS,0.007530477,0.745365685,1265,9.48682068083785e-17,min_sylls_freq_Hz,0.808443765
NORTHERN FORESTS_NORTHERN FORESTS,0.042959052,0.000514328,4950,9.48682068083785e-17,min_sylls_freq_Hz,0.000935143
NORTHERN FORESTS_TROPICAL WET FORESTS,0.163665759,3.84988069825513e-09,1100,9.48682068083785e-17,min_sylls_freq_Hz,8.79972731029745e-09
TROPICAL WET FORESTS_TROPICAL WET FORESTS,-0.1926824,0.038374324,55,9.48682068083785e-17,min_sylls_freq_Hz,0.050326982
EASTERN TEMPERATE FORESTS_EASTERN TEMPERATE FORESTS,-0.005413459,8.44918561097895e-08,1279200,4.45508450974432e-17,overall_sylls_freq_range_Hz,1.82685094291437e-07
EASTERN TEMPERATE FORESTS_GREAT PLAINS,0.022776682,4.47504532731947e-26,184000,4.45508450974432e-17,overall_sylls_freq_range_Hz,2.55716875846827e-25
EASTERN TEMPERATE FORESTS_NORTHERN FORESTS,0.022223252,1.01694606413464e-21,160000,4.45508450974432e-17,overall_sylls_freq_range_Hz,4.62520844616192e-21
EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS,-0.079362269,3.86182720030194e-36,17600,4.45508450974432e-17,overall_sylls_freq_range_Hz,2.37650904633966e-35
GREAT PLAINS_GREAT PLAINS,0.01754531,0.105803227,6555,4.45508450974432e-17,overall_sylls_freq_range_Hz,0.136520293
GREAT PLAINS_NORTHERN FORESTS,0.019621181,0.019237256,11500,4.45508450974432e-17,overall_sylls_freq_range_Hz,0.026084415
GREAT PLAINS_TROPICAL WET FORESTS,0.082661977,0.004905348,1265,4.45508450974432e-17,overall_sylls_freq_range_Hz,0.007694664
NORTHERN FORESTS_NORTHERN FORESTS,0.039782682,0.002728746,4950,4.45508450974432e-17,overall_sylls_freq_range_Hz,0.004455095
NORTHERN FORESTS_TROPICAL WET FORESTS,-0.080707242,0.001347498,1100,4.45508450974432e-17,overall_sylls_freq_range_Hz,0.002343474
TROPICAL WET FORESTS_TROPICAL WET FORESTS,0.394113163,0.022063455,55,4.45508450974432e-17,overall_sylls_freq_range_Hz,0.02941794
EASTERN TEMPERATE FORESTS_EASTERN TEMPERATE FORESTS,-0.013210076,2.79146113199159e-40,1279200,3.03239789436409e-16,largest_sylls_freq_range_Hz,2.79146113199159e-39
EASTERN TEMPERATE FORESTS_GREAT PLAINS,0.038894817,2.80705524605207e-72,184000,3.03239789436409e-16,largest_sylls_freq_range_Hz,3.74274032806943e-71
EASTERN TEMPERATE FORESTS_NORTHERN FORESTS,0.048462643,1.15259385228434e-95,160000,3.03239789436409e-16,largest_sylls_freq_range_Hz,1.84415016365495e-94
EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS,0.032106152,2.57953996996859e-06,17600,3.03239789436409e-16,largest_sylls_freq_range_Hz,5.03324872188994e-06
GREAT PLAINS_GREAT PLAINS,0.080504928,6.69536414113407e-13,6555,3.03239789436409e-16,largest_sylls_freq_range_Hz,1.98381159737306e-12
GREAT PLAINS_NORTHERN FORESTS,0.056109069,4.51234281706285e-11,11500,3.03239789436409e-16,largest_sylls_freq_range_Hz,1.12808570426571e-10
GREAT PLAINS_TROPICAL WET FORESTS,0.139585448,4.89414068433391e-07,1265,3.03239789436409e-16,largest_sylls_freq_range_Hz,1.00392629422234e-06
NORTHERN FORESTS_NORTHERN FORESTS,0.02988298,0.015391664,4950,3.03239789436409e-16,largest_sylls_freq_range_Hz,0.021988092
NORTHERN FORESTS_TROPICAL WET FORESTS,-0.063999367,0.014799646,1100,3.03239789436409e-16,largest_sylls_freq_range_Hz,0.021526758
TROPICAL WET FORESTS_TROPICAL WET FORESTS,-0.081266473,0.392165295,55,3.03239789436409e-16,largest_sylls_freq_range_Hz,0.448188909
EASTERN TEMPERATE FORESTS_EASTERN TEMPERATE FORESTS,0.006833512,3.94532067651991e-12,1279200,-2.97E-16,smallest_sylls_freq_range_Hz,1.12723447900569e-11
EASTERN TEMPERATE FORESTS_GREAT PLAINS,0.016141469,4.64107079151173e-15,184000,-2.97E-16,smallest_sylls_freq_range_Hz,1.61428549269973e-14
EASTERN TEMPERATE FORESTS_NORTHERN FORESTS,-0.063828546,9.35130575811902e-205,160000,-2.97E-16,smallest_sylls_freq_range_Hz,3.74052230324761e-203
EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS,-0.058554737,1.04067190038643e-21,17600,-2.97E-16,smallest_sylls_freq_range_Hz,4.62520844616192e-21
GREAT PLAINS_GREAT PLAINS,0.031911363,0.002510177,6555,-2.97E-16,smallest_sylls_freq_range_Hz,0.004183628
GREAT PLAINS_NORTHERN FORESTS,-0.058216413,1.94579848653208e-14,11500,-2.97E-16,smallest_sylls_freq_range_Hz,6.22655515690266e-14
GREAT PLAINS_TROPICAL WET FORESTS,0.065010801,0.009498472,1265,-2.97E-16,smallest_sylls_freq_range_Hz,0.014071811
NORTHERN FORESTS_NORTHERN FORESTS,-0.060801195,6.58157042598144e-08,4950,-2.97E-16,smallest_sylls_freq_range_Hz,1.46257120577365e-07
NORTHERN FORESTS_TROPICAL WET FORESTS,0.189722697,4.33614249142395e-11,1100,-2.97E-16,smallest_sylls_freq_range_Hz,1.11900451391586e-10
TROPICAL WET FORESTS_TROPICAL WET FORESTS,0.036608444,0.747810483,55,-2.97E-16,smallest_sylls_freq_range_Hz,0.808443765
EASTERN TEMPERATE FORESTS_EASTERN TEMPERATE FORESTS,-0.006327397,2.04654170223778e-10,1279200,-3.76E-16,avg_sylls_freq_range_Hz,4.96131321754612e-10
EASTERN TEMPERATE FORESTS_GREAT PLAINS,0.05826802,2.32516586392677e-160,184000,-3.76E-16,avg_sylls_freq_range_Hz,6.20044230380473e-159
EASTERN TEMPERATE FORESTS_NORTHERN FORESTS,-0.016761265,6.54982543054247e-14,160000,-3.76E-16,avg_sylls_freq_range_Hz,2.01533090170538e-13
EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS,-0.053950496,4.53254111465695e-18,17600,-3.76E-16,avg_sylls_freq_range_Hz,1.81301644586278e-17
GREAT PLAINS_GREAT PLAINS,0.101502083,2.14736434194761e-19,6555,-3.76E-16,avg_sylls_freq_range_Hz,9.04153407135837e-19
GREAT PLAINS_NORTHERN FORESTS,0.029294846,0.000489742,11500,-3.76E-16,avg_sylls_freq_range_Hz,0.000911148
GREAT PLAINS_TROPICAL WET FORESTS,0.069370599,0.007817697,1265,-3.76E-16,avg_sylls_freq_range_Hz,0.012027227
NORTHERN FORESTS_NORTHERN FORESTS,-0.000565958,0.963493659,4950,-3.76E-16,avg_sylls_freq_range_Hz,0.963493659
NORTHERN FORESTS_TROPICAL WET FORESTS,-0.063318517,0.018861098,1100,-3.76E-16,avg_sylls_freq_range_Hz,0.026015307
TROPICAL WET FORESTS_TROPICAL WET FORESTS,-0.245770355,0.008340393,55,-3.76E-16,avg_sylls_freq_range_Hz,0.012589272
