"Pair","Mean_Residual_Between","Mean_Residual_Within","T_test_pval","n","Feature","P_value_adj"
"EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS",0.0321061523649996,-0.0125717933877625,6.44106618051303e-11,17600,"largest_sylls_freq_range_Hz",1.40532353029375e-10
"GREAT PLAINS_NORTHERN FORESTS",0.0561090693675162,-0.0125717933877625,8.14380703250423e-16,11500,"largest_sylls_freq_range_Hz",2.05738282926423e-15
"GREAT PLAINS_TROPICAL WET FORESTS",0.139585448282671,-0.0125717933877625,4.30211656211841e-08,1265,"largest_sylls_freq_range_Hz",7.94236903775706e-08
"NORTHERN FORESTS_TROPICAL WET FORESTS",-0.0639993670636877,-0.0125717933877625,0.0500823543622033,1100,"largest_sylls_freq_range_Hz",0.0559058839392037
"EASTERN TEMPERATE FORESTS_GREAT PLAINS",0.0161414685780406,0.00670276084961339,6.32871466556246e-06,184000,"smallest_sylls_freq_range_Hz",1.04751139292068e-05
"EASTERN TEMPERATE FORESTS_NORTHERN FORESTS",-0.0638285457212457,0.00670276084961339,1.89983249359961e-242,160000,"smallest_sylls_freq_range_Hz",4.55959798463907e-241
"EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS",-0.0585547371349869,0.00670276084961339,1.7950989985112e-26,17600,"smallest_sylls_freq_range_Hz",5.74431679523585e-26
"GREAT PLAINS_NORTHERN FORESTS",-0.0582164133246223,0.00670276084961339,1.54811032266041e-17,11500,"smallest_sylls_freq_range_Hz",4.1282941937611e-17
"GREAT PLAINS_TROPICAL WET FORESTS",0.0650108008803371,0.00670276084961339,0.0199899001988997,1265,"smallest_sylls_freq_range_Hz",0.0246029540909534
"NORTHERN FORESTS_TROPICAL WET FORESTS",0.189722696806151,0.00670276084961339,1.97779806271847e-10,1100,"smallest_sylls_freq_range_Hz",4.12757856567334e-10
"EASTERN TEMPERATE FORESTS_GREAT PLAINS",0.0582680196574162,-0.00576790312677184,1.84724652892102e-188,184000,"avg_sylls_freq_range_Hz",2.95559444627363e-187
"EASTERN TEMPERATE FORESTS_NORTHERN FORESTS",-0.016761265098788,-0.00576790312677184,1.17569437916526e-06,160000,"avg_sylls_freq_range_Hz",2.01547607856902e-06
"EASTERN TEMPERATE FORESTS_TROPICAL WET FORESTS",-0.0539504957600532,-0.00576790312677184,1.09193149040134e-14,17600,"avg_sylls_freq_range_Hz",2.62063557696321e-14
"GREAT PLAINS_NORTHERN FORESTS",0.0292948456353543,-0.00576790312677184,3.06261042541488e-05,11500,"avg_sylls_freq_range_Hz",4.90017668066382e-05
"GREAT PLAINS_TROPICAL WET FORESTS",0.0693705992476422,-0.00576790312677184,0.00397607071397407,1265,"avg_sylls_freq_range_Hz",0.00530142761863209
"NORTHERN FORESTS_TROPICAL WET FORESTS",-0.0633185170225438,-0.00576790312677184,0.0327900645612215,1100,"avg_sylls_freq_range_Hz",0.0374743594985388
