Ecoregion,Feature,SampleSize,Mantel_r_obs,Mean_r_null,SD_r_null,P_value,P_value_adj
NORTHWESTERN FORESTED MOUNTAINS,smallest_sylls_freq_range_Hz,166,0.07907489,0.013070723,0.033004572,0.034034034,0.640640641
SOUTHERN SEMIARID HIGHLANDS,smallest_sylls_freq_range_Hz,86,0.030751608,0.011509205,0.047662808,0.323323323,1
TEMPERATE SIERRAS,smallest_sylls_freq_range_Hz,111,0.019272068,0.011094172,0.041635818,0.393393393,1
TROPICAL DRY FORESTS,smallest_sylls_freq_range_Hz,10,0.204076168,0.018577003,0.190097659,0.166166166,1
GREAT PLAINS,avg_sylls_freq_range_Hz,153,0.0354583,0.035491394,0.044153869,0.464464464,1
MARINE WEST COAST FOREST,avg_sylls_freq_range_Hz,207,0.063917411,0.035649605,0.035619484,0.216216216,1
MEDITERRANEAN CALIFORNIA,avg_sylls_freq_range_Hz,206,0.004397126,0.033985515,0.03465382,0.794794795,1
NORTH AMERICAN DESERTS,avg_sylls_freq_range_Hz,146,-0.014312446,0.029551868,0.043445261,0.842842843,1
NORTHWESTERN FORESTED MOUNTAINS,avg_sylls_freq_range_Hz,166,0.064850546,0.031761566,0.041057728,0.203203203,1
SOUTHERN SEMIARID HIGHLANDS,avg_sylls_freq_range_Hz,86,0.063479589,0.034026566,0.058726354,0.282282282,1
TEMPERATE SIERRAS,avg_sylls_freq_range_Hz,111,0.055903984,0.035236386,0.05033172,0.309309309,1
TROPICAL DRY FORESTS,avg_sylls_freq_range_Hz,10,-0.253930331,0.015489636,0.181477991,0.984984985,1
