Pair,Mean_Residual,T_test_pval,n,Overall_Mean_Residual,Feature,P_value_adj
SOUTHERN SEMIARID HIGHLANDS_SOUTHERN SEMIARID HIGHLANDS,-0.011182397,0.456958323,3655,-2.89E-16,avg_sylls_upper_freq_Hz,0.473395672
SOUTHERN SEMIARID HIGHLANDS_TEMPERATE SIERRAS,-0.123304631,1.7411121959034e-58,9546,-2.89E-16,avg_sylls_upper_freq_Hz,9.64308293115731e-58
SOUTHERN SEMIARID HIGHLANDS_TROPICAL DRY FORESTS,-0.195810081,1.63214530289062e-14,860,-2.89E-16,avg_sylls_upper_freq_Hz,3.38171113116906e-14
TEMPERATE SIERRAS_TEMPERATE SIERRAS,-0.13524412,4.8860373956164e-43,6105,-2.89E-16,avg_sylls_upper_freq_Hz,2.03938952164859e-42
TEMPERATE SIERRAS_TROPICAL DRY FORESTS,-0.246504288,1.13475613471852e-31,1110,-2.89E-16,avg_sylls_upper_freq_Hz,3.84482078586982e-31
TROPICAL DRY FORESTS_TROPICAL DRY FORESTS,-0.213048537,0.077868887,45,-2.89E-16,avg_sylls_upper_freq_Hz,0.089347567
GREAT PLAINS_GREAT PLAINS,-0.18153621,4.99307167616582e-154,11628,5.03747154615405e-17,avg_sylls_lower_freq_Hz,1.59778293637306e-152
GREAT PLAINS_MARINE WEST COAST FOREST,-0.038705395,1.11439306489091e-15,31671,5.03747154615405e-17,avg_sylls_lower_freq_Hz,2.4733704824234e-15
GREAT PLAINS_MEDITERRANEAN CALIFORNIA,-0.092065859,3.93897442018198e-88,31518,5.03747154615405e-17,avg_sylls_lower_freq_Hz,3.91180907935314e-87
GREAT PLAINS_NORTH AMERICAN DESERTS,-0.048733214,2.18447507137983e-17,22338,5.03747154615405e-17,avg_sylls_lower_freq_Hz,5.15679361112614e-17
GREAT PLAINS_NORTHWESTERN FORESTED MOUNTAINS,0.096253282,5.74850446690617e-55,25398,5.03747154615405e-17,avg_sylls_lower_freq_Hz,2.85442980425686e-54
GREAT PLAINS_SOUTHERN SEMIARID HIGHLANDS,0.14250854,1.74327927444144e-63,13158,5.03747154615405e-17,avg_sylls_lower_freq_Hz,1.09144441530247e-62
GREAT PLAINS_TEMPERATE SIERRAS,-0.012026478,0.056056491,16983,5.03747154615405e-17,avg_sylls_lower_freq_Hz,0.066165038
GREAT PLAINS_TROPICAL DRY FORESTS,-0.092109686,2.27051716176778e-06,1530,5.03747154615405e-17,avg_sylls_lower_freq_Hz,3.30257041711678e-06
MARINE WEST COAST FOREST_MARINE WEST COAST FOREST,-0.014980987,0.012392097,21321,5.03747154615405e-17,avg_sylls_lower_freq_Hz,0.015722131
MARINE WEST COAST FOREST_MEDITERRANEAN CALIFORNIA,-0.101525448,2.57098503527777e-145,42642,5.03747154615405e-17,avg_sylls_lower_freq_Hz,7.40443690159997e-144
MARINE WEST COAST FOREST_NORTH AMERICAN DESERTS,-0.08349471,6.94449760187036e-67,30222,5.03747154615405e-17,avg_sylls_lower_freq_Hz,4.65119839381084e-66
MARINE WEST COAST FOREST_NORTHWESTERN FORESTED MOUNTAINS,0.086493343,6.12565802928349e-62,34362,5.03747154615405e-17,avg_sylls_lower_freq_Hz,3.6753948175701e-61
MARINE WEST COAST FOREST_SOUTHERN SEMIARID HIGHLANDS,0.107103037,3.33619789581338e-49,17802,5.03747154615405e-17,avg_sylls_lower_freq_Hz,1.5497177322488e-48
MARINE WEST COAST FOREST_TEMPERATE SIERRAS,-0.03409586,3.72557903731393e-10,22977,5.03747154615405e-17,avg_sylls_lower_freq_Hz,6.31156919262596e-10
MARINE WEST COAST FOREST_TROPICAL DRY FORESTS,0.049570709,0.008635555,2070,5.03747154615405e-17,avg_sylls_lower_freq_Hz,0.011152645
MEDITERRANEAN CALIFORNIA_MEDITERRANEAN CALIFORNIA,-0.073606696,1.08207956837864e-38,21115,5.03747154615405e-17,avg_sylls_lower_freq_Hz,3.94479640117783e-38
MEDITERRANEAN CALIFORNIA_NORTH AMERICAN DESERTS,-0.070678746,4.16541733762894e-48,30076,5.03747154615405e-17,avg_sylls_lower_freq_Hz,1.87443780193302e-47
MEDITERRANEAN CALIFORNIA_NORTHWESTERN FORESTED MOUNTAINS,0.12079811,1.46847200034403e-110,34196,5.03747154615405e-17,avg_sylls_lower_freq_Hz,2.4877643299946e-109
MEDITERRANEAN CALIFORNIA_SOUTHERN SEMIARID HIGHLANDS,0.045455016,3.07339164382994e-11,17716,5.03747154615405e-17,avg_sylls_lower_freq_Hz,5.39717556965257e-11
MEDITERRANEAN CALIFORNIA_TEMPERATE SIERRAS,-0.057730027,1.59150866542472e-26,22866,5.03747154615405e-17,avg_sylls_lower_freq_Hz,4.72530407878681e-26
MEDITERRANEAN CALIFORNIA_TROPICAL DRY FORESTS,-0.01850975,0.301568936,2060,5.03747154615405e-17,avg_sylls_lower_freq_Hz,0.320486545
NORTH AMERICAN DESERTS_NORTH AMERICAN DESERTS,-0.072571265,1.47481214040322e-19,10585,5.03747154615405e-17,avg_sylls_lower_freq_Hz,3.69344257770545e-19
NORTH AMERICAN DESERTS_NORTHWESTERN FORESTED MOUNTAINS,0.131130477,1.45063023405174e-91,24236,5.03747154615405e-17,avg_sylls_lower_freq_Hz,1.54733891632185e-90
NORTH AMERICAN DESERTS_SOUTHERN SEMIARID HIGHLANDS,0.000200824,0.978666483,12556,5.03747154615405e-17,avg_sylls_lower_freq_Hz,0.978666483
NORTH AMERICAN DESERTS_TEMPERATE SIERRAS,-0.034285236,8.59829711502594e-08,16206,5.03747154615405e-17,avg_sylls_lower_freq_Hz,1.34582041800406e-07
NORTH AMERICAN DESERTS_TROPICAL DRY FORESTS,-0.01147901,0.595004565,1460,5.03747154615405e-17,avg_sylls_lower_freq_Hz,0.607664237
NORTHWESTERN FORESTED MOUNTAINS_NORTHWESTERN FORESTED MOUNTAINS,0.20039148,1.67170051445982e-110,13695,5.03747154615405e-17,avg_sylls_lower_freq_Hz,2.6747208231357e-109
NORTHWESTERN FORESTED MOUNTAINS_SOUTHERN SEMIARID HIGHLANDS,0.058582936,4.12304240969024e-15,14276,5.03747154615405e-17,avg_sylls_lower_freq_Hz,8.86146428351335e-15
NORTHWESTERN FORESTED MOUNTAINS_TEMPERATE SIERRAS,0.025645857,4.31902918285501e-05,18426,5.03747154615405e-17,avg_sylls_lower_freq_Hz,6.12748967813912e-05
NORTHWESTERN FORESTED MOUNTAINS_TROPICAL DRY FORESTS,-0.02033771,0.288583693,1660,5.03747154615405e-17,avg_sylls_lower_freq_Hz,0.308966928
SOUTHERN SEMIARID HIGHLANDS_SOUTHERN SEMIARID HIGHLANDS,0.153371693,1.71342613049281e-22,3655,5.03747154615405e-17,avg_sylls_lower_freq_Hz,4.69968310078028e-22
SOUTHERN SEMIARID HIGHLANDS_TEMPERATE SIERRAS,0.009009391,0.29086969,9546,5.03747154615405e-17,avg_sylls_lower_freq_Hz,0.310261002
SOUTHERN SEMIARID HIGHLANDS_TROPICAL DRY FORESTS,-0.131685801,3.04057231984151e-07,860,5.03747154615405e-17,avg_sylls_lower_freq_Hz,4.63325305880612e-07
TEMPERATE SIERRAS_TEMPERATE SIERRAS,0.02370579,0.025963945,6105,5.03747154615405e-17,avg_sylls_lower_freq_Hz,0.031684814
TEMPERATE SIERRAS_TROPICAL DRY FORESTS,-0.102808907,5.34561567117588e-06,1110,5.03747154615405e-17,avg_sylls_lower_freq_Hz,7.73636840853595e-06
TROPICAL DRY FORESTS_TROPICAL DRY FORESTS,0.114713577,0.386690223,45,5.03747154615405e-17,avg_sylls_lower_freq_Hz,0.402046152
GREAT PLAINS_GREAT PLAINS,0.034367584,1.46846359059742e-05,11628,6.61992118597049e-16,max_sylls_freq_Hz,2.11458757046028e-05
GREAT PLAINS_MARINE WEST COAST FOREST,0.014162448,0.004326086,31671,6.61992118597049e-16,max_sylls_freq_Hz,0.00566324
GREAT PLAINS_MEDITERRANEAN CALIFORNIA,0.034690708,2.13226187169964e-11,31518,6.61992118597049e-16,max_sylls_freq_Hz,3.76743201870856e-11
GREAT PLAINS_NORTH AMERICAN DESERTS,0.07164828,4.67603166577651e-32,22338,6.61992118597049e-16,max_sylls_freq_Hz,1.60321085683766e-31
GREAT PLAINS_NORTHWESTERN FORESTED MOUNTAINS,0.022794178,2.5980307894203e-05,25398,6.61992118597049e-16,max_sylls_freq_Hz,3.70412310570815e-05
GREAT PLAINS_SOUTHERN SEMIARID HIGHLANDS,-0.045335516,1.09225779468253e-09,13158,6.61992118597049e-16,max_sylls_freq_Hz,1.82889677249167e-09
GREAT PLAINS_TEMPERATE SIERRAS,-0.131829824,2.43750977169693e-109,16983,6.61992118597049e-16,max_sylls_freq_Hz,3.69475165394061e-108
GREAT PLAINS_TROPICAL DRY FORESTS,-0.161621602,3.72700704567917e-20,1530,6.61992118597049e-16,max_sylls_freq_Hz,9.58373240317501e-20
MARINE WEST COAST FOREST_MARINE WEST COAST FOREST,-0.012960457,0.02594708,21321,6.61992118597049e-16,max_sylls_freq_Hz,0.031684814
MARINE WEST COAST FOREST_MEDITERRANEAN CALIFORNIA,0.041078981,3.74646819315587e-19,42642,6.61992118597049e-16,max_sylls_freq_Hz,9.30157620369733e-19
MARINE WEST COAST FOREST_NORTH AMERICAN DESERTS,0.066978705,1.58537636504276e-38,30222,6.61992118597049e-16,max_sylls_freq_Hz,5.70735491415393e-38
MARINE WEST COAST FOREST_NORTHWESTERN FORESTED MOUNTAINS,0.005378174,0.25064971,34362,6.61992118597049e-16,max_sylls_freq_Hz,0.271380137
MARINE WEST COAST FOREST_SOUTHERN SEMIARID HIGHLANDS,-0.017716891,0.007107813,17802,6.61992118597049e-16,max_sylls_freq_Hz,0.009220946
MARINE WEST COAST FOREST_TEMPERATE SIERRAS,-0.120729434,2.09746091731678e-120,22977,6.61992118597049e-16,max_sylls_freq_Hz,4.64668264759411e-119
MARINE WEST COAST FOREST_TROPICAL DRY FORESTS,-0.150378058,1.85500189995419e-20,2070,6.61992118597049e-16,max_sylls_freq_Hz,4.81297790258383e-20
MEDITERRANEAN CALIFORNIA_MEDITERRANEAN CALIFORNIA,0.104755472,1.44739268413456e-55,21115,6.61992118597049e-16,max_sylls_freq_Hz,7.31314198299565e-55
MEDITERRANEAN CALIFORNIA_NORTH AMERICAN DESERTS,0.088870092,1.6077935763613e-63,30076,6.61992118597049e-16,max_sylls_freq_Hz,1.02898788887123e-62
MEDITERRANEAN CALIFORNIA_NORTHWESTERN FORESTED MOUNTAINS,0.036111495,1.86365920485076e-14,34196,6.61992118597049e-16,max_sylls_freq_Hz,3.83381322140728e-14
MEDITERRANEAN CALIFORNIA_SOUTHERN SEMIARID HIGHLANDS,-0.013903496,0.029708625,17716,6.61992118597049e-16,max_sylls_freq_Hz,0.035799515
MEDITERRANEAN CALIFORNIA_TEMPERATE SIERRAS,-0.079055234,2.99722087644809e-48,22866,6.61992118597049e-16,max_sylls_freq_Hz,1.3701581149477e-47
MEDITERRANEAN CALIFORNIA_TROPICAL DRY FORESTS,-0.134241926,6.78389678958983e-17,2060,6.61992118597049e-16,max_sylls_freq_Hz,1.58842461414786e-16
NORTH AMERICAN DESERTS_NORTH AMERICAN DESERTS,0.083404316,1.22726968127459e-21,10585,6.61992118597049e-16,max_sylls_freq_Hz,3.30330531034655e-21
NORTH AMERICAN DESERTS_NORTHWESTERN FORESTED MOUNTAINS,0.041390643,5.74709934935593e-14,24236,6.61992118597049e-16,max_sylls_freq_Hz,1.1574577710591e-13
NORTH AMERICAN DESERTS_SOUTHERN SEMIARID HIGHLANDS,-0.028898013,7.72383679550409e-05,12556,6.61992118597049e-16,max_sylls_freq_Hz,0.000109042
NORTH AMERICAN DESERTS_TEMPERATE SIERRAS,-0.100935593,1.15381414836724e-57,16206,6.61992118597049e-16,max_sylls_freq_Hz,6.1536754579586e-57
NORTH AMERICAN DESERTS_TROPICAL DRY FORESTS,-0.192772784,3.16869507545997e-25,1460,6.61992118597049e-16,max_sylls_freq_Hz,9.03548694784625e-25
NORTHWESTERN FORESTED MOUNTAINS_NORTHWESTERN FORESTED MOUNTAINS,0.009694816,0.172731483,13695,6.61992118597049e-16,max_sylls_freq_Hz,0.189150825
NORTHWESTERN FORESTED MOUNTAINS_SOUTHERN SEMIARID HIGHLANDS,-0.030536306,2.07615000048686e-05,14276,6.61992118597049e-16,max_sylls_freq_Hz,2.97478209024982e-05
NORTHWESTERN FORESTED MOUNTAINS_TEMPERATE SIERRAS,-0.109496754,2.04918377773283e-77,18426,6.61992118597049e-16,max_sylls_freq_Hz,1.55306559996593e-76
NORTHWESTERN FORESTED MOUNTAINS_TROPICAL DRY FORESTS,-0.130999323,6.96617075163084e-13,1660,6.61992118597049e-16,max_sylls_freq_Hz,1.31990603715111e-12
