Recording_ID,Species,Latitude,Longitude,Recordist,Date,Source,Month
28008,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/6/72,ML,5
28010,Pipilo erythrophthalmus,40.94704514,-72.67340172,David  Ewert,5/6/72,ML,5
28012,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/7/72,ML,5
28016,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/8/72,ML,5
28024,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/10/72,ML,5
28026,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/11/72,ML,5
27300,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/16/72,ML,5
27316,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/17/72,ML,5
27329,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/18/72,ML,5
27333,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/19/72,ML,5
27336,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/21/72,ML,5
27337,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/22/72,ML,5
27373,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/23/72,ML,5
27369,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/26/72,ML,5
27372,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/27/72,ML,5
27374,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/28/72,ML,5
27378,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/29/72,ML,5
27388,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,6/2/72,ML,6
27394,Pipilo erythrophthalmus,40.7709151,-73.1553978,Jon S. Greenlaw,6/2/72,ML,6
27400,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,6/6/72,ML,6
27401,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,6/11/72,ML,6
27403,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,6/22/72,ML,6
27404,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,6/24/72,ML,6
27407,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,6/26/72,ML,6
27409,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,6/27/72,ML,6
27412,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,6/28/72,ML,6
27418,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,6/29/72,ML,6
27429,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,7/1/72,ML,7
27436,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,7/2/72,ML,7
27442,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,7/3/72,ML,7
27453,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,7/7/72,ML,7
27458,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,7/8/72,ML,7
27461,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,7/9/72,ML,7
27462,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,7/10/72,ML,7
27463,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,7/12/72,ML,7
27467,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,7/12/72,ML,7
27469,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,7/14/72,ML,7
27470,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,7/15/72,ML,7
27477,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,7/21/72,ML,7
27479,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,7/22/72,ML,7
27486,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,7/24/72,ML,7
27487,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,7/25/72,ML,7
27491,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,7/27/72,ML,7
27493,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/2/73,ML,5
27496,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/4/73,ML,5
27497,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/6/73,ML,5
27501,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/10/73,ML,5
27504,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/11/73,ML,5
27507,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/13/73,ML,5
27512,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/16/73,ML,5
27515,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/19/73,ML,5
27522,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/20/73,ML,5
27529,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/24/73,ML,5
27531,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/26/73,ML,5
27535,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/29/73,ML,5
27541,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,5/30/73,ML,5
27554,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,6/5/73,ML,6
27557,Pipilo erythrophthalmus,40.7709151,-73.1553978,David  Ewert,6/6/73,ML,6
27566,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,6/7/73,ML,6
27572,Pipilo erythrophthalmus,40.8333333,-73.3333333,David  Ewert,6/8/73,ML,6
